phi_max,n_tracks,sigma_scatt,sigma_scatt_mrad,epsilon,repeat,n_true,n_false,true_accepted,false_accepted,segment_efficiency,segment_false_rate
0.02,100,0.0001,0.1,0.0004247940677551889,1,300,2999700,300,45,1.0,0.13043478260869565
0.02,100,0.0001,0.1,0.0004247940677551889,2,300,2999700,300,38,1.0,0.11242603550295859
0.02,100,0.0001,0.1,0.0004247940677551889,3,300,2999700,300,53,1.0,0.1501416430594901
0.02,100,0.0001,0.1,0.0004247940677551889,4,300,2999700,300,45,1.0,0.13043478260869565
0.02,100,0.0001,0.1,0.0004247940677551889,5,300,2999700,300,45,1.0,0.13043478260869565
0.02,100,0.0001,0.1,0.0004247940677551889,6,300,2999700,300,43,1.0,0.12536443148688048
0.02,100,0.0001,0.1,0.0004247940677551889,7,300,2999700,300,30,1.0,0.09090909090909091
0.02,100,0.0001,0.1,0.0004247940677551889,8,300,2999700,300,53,1.0,0.1501416430594901
0.02,100,0.0001,0.1,0.0004247940677551889,9,300,2999700,300,41,1.0,0.12023460410557185
0.02,100,0.0002,0.2,0.0008487932610477066,0,300,2999700,300,197,1.0,0.3963782696177062
0.02,100,0.0002,0.2,0.0008487932610477066,1,300,2999700,300,167,1.0,0.3576017130620985
0.02,100,0.0002,0.2,0.0008487932610477066,2,300,2999700,300,150,1.0,0.3333333333333333
0.02,100,0.0002,0.2,0.0008487932610477066,3,300,2999700,300,173,1.0,0.3657505285412262
0.02,100,0.0002,0.2,0.0008487932610477066,4,300,2999700,300,169,1.0,0.3603411513859275
0.02,100,0.0002,0.2,0.0008487932610477066,5,300,2999700,300,151,1.0,0.3348115299334812
0.02,100,0.0002,0.2,0.0008487932610477066,6,300,2999700,300,179,1.0,0.3736951983298539
0.02,100,0.0002,0.2,0.0008487932610477066,7,300,2999700,300,167,1.0,0.3576017130620985
0.02,100,0.0002,0.2,0.0008487932610477066,8,300,2999700,300,181,1.0,0.3762993762993763
0.02,100,0.0002,0.2,0.0008487932610477066,9,300,2999700,300,130,1.0,0.3023255813953488
0.02,100,0.0004,0.4,0.0016971888521905864,0,300,2999700,300,637,1.0,0.67982924226254
0.02,100,0.0004,0.4,0.0016971888521905864,1,300,2999700,300,684,1.0,0.6951219512195121
0.02,100,0.0004,0.4,0.0016971888521905864,2,300,2999700,300,763,1.0,0.7177798682972719
0.02,100,0.0004,0.4,0.0016971888521905864,3,300,2999700,300,707,1.0,0.702085402184707
0.02,100,0.0004,0.4,0.0016971888521905864,4,300,2999700,300,697,1.0,0.6990972918756269
0.02,100,0.0004,0.4,0.0016971888521905864,5,300,2999700,300,638,1.0,0.6801705756929638
0.02,100,0.0004,0.4,0.0016971888521905864,6,300,2999700,300,671,1.0,0.6910401647785788
0.02,100,0.0004,0.4,0.0016971888521905864,7,300,2999700,300,673,1.0,0.6916752312435765
0.02,100,0.0004,0.4,0.0016971888521905864,8,300,2999700,300,686,1.0,0.6957403651115619
0.02,100,0.0004,0.4,0.0016971888521905864,9,300,2999700,300,653,1.0,0.6852046169989506
0.02,100,0.0006,0.6,0.002545672799084753,0,300,2999700,300,1679,1.0,0.8484082870136432
0.02,100,0.0006,0.6,0.002545672799084753,1,300,2999700,300,1531,1.0,0.8361551064991808
0.02,100,0.0006,0.6,0.002545672799084753,2,300,2999700,300,1322,1.0,0.815043156596794
0.02,100,0.0006,0.6,0.002545672799084753,3,300,2999700,300,1527,1.0,0.8357963875205254
0.02,100,0.0006,0.6,0.002545672799084753,4,300,2999700,300,1638,1.0,0.8452012383900929
0.02,100,0.0006,0.6,0.002545672799084753,5,300,2999700,300,1498,1.0,0.8331479421579533
0.02,100,0.0006,0.6,0.002545672799084753,6,300,2999700,300,1691,1.0,0.8493219487694625
0.02,100,0.0006,0.6,0.002545672799084753,7,300,2999700,300,1554,1.0,0.8381877022653722
0.02,100,0.0006,0.6,0.002545672799084753,8,300,2999700,300,1368,1.0,0.8201438848920863
0.02,100,0.0006,0.6,0.002545672799084753,9,300,2999700,300,1684,1.0,0.8487903225806451
0.02,100,0.0008,0.8,0.0033941788403088016,0,300,2999700,300,3056,1.0,0.9106078665077473
