regime,T,rep,family,degree,eps,far_e990,eff_e990,tau_e990,far_e995,eff_e995,tau_e995,far_e999,eff_e999,tau_e999,eff_f001,eff_f010,eff_fixed,far_fixed,cos_C,notes
clean,200,1,fitted_xval,,0.0004247940677551889,0.0,1.0,0.8661694480104074,0.0,1.0,0.8661694480104074,0.0,1.0,0.8661694480104074,1.0,1.0,1.0,0.0,0.999999999999999,rep0 response verbatim
clean,200,2,classical_invA,,0.0004247940677551889,0.008674101610904586,1.0,0.3636363636363642,0.008674101610904586,1.0,0.3636363636363642,0.008674101610904586,1.0,0.3636363636363642,0.005,1.0,1.0,0.008674101610904586,0.9999999999999998,
clean,200,2,1bqf_cos,1.0,0.0004247940677551889,0.008674101610904586,1.0,0.4958849304736624,0.008674101610904586,1.0,0.4958849304736624,0.008674101610904586,1.0,0.4958849304736624,0.005,1.0,1.0,0.008674101610904586,0.9994404106334712,
clean,200,2,comb_prod,8.0,0.0004247940677551889,0.0,0.99,0.1294896015395311,0.9950247823342271,0.995,0.03645658813258405,0.995,1.0,0.0010674484972333822,0.99,0.99,0.99,0.0,0.9862608614792718,
clean,200,2,comb_prod,12.0,0.0004247940677551889,0.0,0.99,0.1491766284106824,0.01485148514851485,0.995,0.07198919391261202,0.995,1.0,0.026336991903118438,0.99125,0.99125,0.99,0.0,0.9898862306018926,
clean,200,2,comb_prod,16.0,0.0004247940677551889,0.0,0.99,0.25560695145128653,0.995024471350081,0.995,0.038515879762910155,0.9949996874804675,1.0,0.012601210868153495,0.99125,0.99125,0.99,0.0,0.9851223130338359,
clean,200,2,comb_prod,20.0,0.0004247940677551889,0.0,0.99,0.2818062017043467,0.9950244402495281,0.995,0.030552832909306257,0.9949996874804675,1.0,0.00047549326375126124,0.99125,0.99375,0.99,0.0,0.9845864865069438,
clean,200,2,comb_prod,24.0,0.0004247940677551889,0.0,0.99,0.2939380646142536,0.995024471350081,0.995,0.02415339833926916,0.9949996874804675,1.0,0.006844573080091422,0.99,0.9925,0.99,0.0,0.9844823120488805,
clean,200,2,comb_prod,28.0,0.0004247940677551889,0.0,0.99,0.30584219004897223,0.002506265664160401,0.995,0.03934671524855348,0.007444168734491315,1.0,0.013915401506914891,0.9925,1.0,0.99,0.0,0.9850026798290027,
clean,200,2,comb_prod,32.0,0.0004247940677551889,0.0,0.99,0.3373865996770499,0.995024471350081,0.995,0.021302310925536663,0.995,1.0,0.0014938072041031933,0.99,0.9925,0.99,0.0,0.9839922020739942,
clean,200,2,comb_prod,36.0,0.0004247940677551889,0.0,0.99,0.34825721646992425,0.005,0.995,0.018948326154646006,0.995,1.0,0.00033082223587725055,0.99,0.99625,0.99,0.0,0.9838624366024069,
clean,200,2,comb_prod,40.0,0.0004247940677551889,0.0,0.99,0.34960181073118207,0.005,0.995,0.021645563311828205,0.995,1.0,0.00135994720174896,0.99,0.9975,0.99,0.0,0.9839204248762626,
clean,200,2,comb_prod,44.0,0.0004247940677551889,0.0,0.99,0.35391916179741,0.005,0.995,0.018383005933393495,0.008674101610904586,1.0,0.0013183689864775343,0.99,1.0,0.99,0.0,0.983881725988479,
clean,200,2,comb_prod,48.0,0.0004247940677551889,0.0,0.99,0.35808942070897026,0.005,0.995,0.019530688546640085,0.9949996874804675,1.0,0.0025266589996076395,0.99,0.9975,0.99,0.0,0.9837989349659738,
clean,200,2,comb_prod,52.0,0.0004247940677551889,0.0,0.99,0.3608025072185455,0.005,0.995,0.01813667898851675,0.995,1.0,0.002564667867007576,0.99,0.9975,0.99,0.0,0.9837594843004905,
clean,200,2,comb_prod,64.0,0.0004247940677551889,0.0,0.99,0.3617472475449473,0.005,0.995,0.018593289432952163,0.0208078335373317,1.0,0.002690950929599154,0.99,0.9975,0.99,0.0,0.9837611382493673,
clean,200,2,comb_prod,68.0,0.0004247940677551889,0.0,0.99,0.3621811188487372,0.005,0.995,0.0184802231480957,0.0196078431372549,1.0,0.0027868574860567307,0.99,0.9975,0.99,0.0,0.9837561004020935,
clean,200,2,band_inverse,8.0,0.0004247940677551889,0.012468827930174564,0.99,0.1999809830241138,0.01485148514851485,0.995,0.09096871817441009,0.0208078335373317,1.0,0.014652110066593262,0.0,0.0,0.99,0.012468827930174564,0.9888348476233793,
clean,200,2,band_inverse,12.0,0.0004247940677551889,0.012468827930174564,0.99,0.18594036392942204,0.016069221260815822,0.995,0.09764485843197537,0.0208078335373317,1.0,0.006760494353245563,0.0,0.0,0.99,0.012468827930174564,0.9799954440002594,
clean,200,2,band_inverse,16.0,0.0004247940677551889,0.012468827930174564,0.99,0.25057562438127345,0.016069221260815822,0.995,0.05272286935279156,0.018404907975460124,1.0,0.01432981215896455,0.0,0.0,0.99,0.012468827930174564,0.9786442097870027,
