setout,regime,T,rep,family,degree,gamma,eps,n_seg,n_true,lam_min,lam_max,far_e970,eff_e970,far_e980,eff_e980,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,eff_f100,notes
base,heavy,400,2,classical_invA,,3.0,0.006312668537322595,630830,1577,0.670317546954911,7.329682453045095,0.4198501872659176,0.9822447685478757,0.4198501872659176,0.9822447685478757,0.5988729508196722,0.9930247305009512,0.8760636621493855,0.9974635383639823,0.9975001188909849,1.0,0.0,0.0,0.0,reference only (tau_abs 0.350)
base,heavy,400,2,onebqf_cos,1.0,3.0,0.006312668537322595,630830,1577,0.670317546954911,7.329682453045095,0.598297213622291,0.9873176918199112,0.598297213622291,0.9873176918199112,0.5973223480947477,0.9917564996829423,0.8760441292356186,0.9974635383639823,0.9975001188909849,1.0,0.0012682308180088776,0.0012682308180088776,0.0012682308180088776,
base,heavy,400,2,comb_prod,40.0,3.0,0.006312668537322595,630830,1577,0.670317546954911,7.329682453045095,0.6025974025974026,0.9701965757767914,0.9975475120008624,0.9809765377298668,0.9975238146570515,0.9904882688649335,0.9975111640935486,0.9955611921369689,0.9975000990766061,1.0,0.0,0.0,0.6956246036778694,
base,heavy,400,3,classical_invA,,3.0,0.006312668537322595,619761,1550,0.5358983848622452,7.4641016151377535,0.5693657984144961,0.9812903225806452,0.5693657984144961,0.9812903225806452,0.8770203232517203,0.9916129032258064,0.9974990359186848,1.0,0.9974990359186848,1.0,0.0,0.0,0.0,reference only (tau_abs 0.350)
base,heavy,400,3,onebqf_cos,1.0,3.0,0.006312668537322595,619761,1550,0.5358983848622452,7.4641016151377535,0.5703703703703704,0.9729032258064516,0.5685106382978723,0.9812903225806452,0.8770006402048656,0.9916129032258064,0.9974990359186848,1.0,0.9974990359186848,1.0,0.001935483870967742,0.001935483870967742,0.001935483870967742,
base,heavy,400,3,comb_prod,40.0,3.0,0.006312668537322595,619761,1550,0.5358983848622452,7.4641016151377535,0.9975356229388475,0.9709677419354839,0.9975062956619696,0.9825806451612903,0.9975086286323759,0.9961290322580645,0.9975086286323759,0.9961290322580645,0.9975006373455445,0.9993548387096775,0.0,0.0,0.6541935483870968,
base,heavy,400,4,classical_invA,,3.0,0.006312668537322595,628453,1571,0.8361882257492775,7.163811774250713,0.44948232774009284,0.9815404201145767,0.44948232774009284,0.9815404201145767,0.8843960601347849,0.9936346276257161,0.9975002108351778,1.0,0.9975002108351778,1.0,0.0,0.0,0.0,reference only (tau_abs 0.350)
base,heavy,400,4,onebqf_cos,1.0,3.0,0.006312668537322595,628453,1571,0.8361882257492775,7.163811774250713,0.6248778103616813,0.9770846594525779,0.6229308666017527,0.9859961807765755,0.8843532375166692,0.9936346276257161,0.9975002108351778,1.0,0.9975002108351778,1.0,0.002546148949713558,0.002546148949713558,0.006365372374283896,
base,heavy,400,4,comb_prod,40.0,3.0,0.006312668537322595,628453,1571,0.8361882257492775,7.163811774250713,0.9975331657544604,0.9719923615531508,0.9975122730554941,0.98026734563972,0.9975144605249548,0.9942711648631445,0.9975112898965371,0.9955442393380013,0.9975017940937321,0.9993634627625716,0.0,0.0,0.3309993634627626,
base,heavy,700,0,classical_invA,,3.0,0.006312668537322595,1923070,2747,0.4203133967029775,7.579686603297024,0.7683543219395186,0.9843465598835093,0.7683543219395186,0.9843465598835093,0.9545764063044958,0.9956315981070258,0.9545764063044958,0.9956315981070258,0.9985715548575975,1.0,0.0,0.0,0.0,reference only (tau_abs 0.350)
