regime,setout,family,degree,eff_f010,far_e990,eff_e990
moderate,base,fitted_moment,8.0,0.9737476329833018,0.3136790745319131,0.9949237842930418
moderate,base,fitted_moment,12.0,0.9751437995580396,0.3136790745319131,0.9949237842930418
moderate,base,fitted_moment,16.0,0.9745068568828804,0.3136790745319131,0.9949526633060215
moderate,base,fitted_moment,20.0,0.9745068568828804,0.3136790745319131,0.9949526633060215
moderate,base,fitted_moment,24.0,0.9745068568828804,0.3136790745319131,0.9949237842930418
moderate,base,fitted_moment,28.0,0.9782918602223497,0.3136790745319131,0.9949526633060215
moderate,base,fitted_moment,32.0,0.9782918602223497,0.3136790745319131,0.9949526633060215
moderate,base,fitted_moment,36.0,0.9782918602223497,0.3136790745319131,0.9949237842930418
moderate,base,fitted_moment,40.0,0.9745068568828804,0.3136790745319131,0.9949526633060215
moderate,base,fitted_moment,44.0,0.9745068568828804,0.3136790745319131,0.9949526633060215
moderate,base,fitted_moment,48.0,0.9745068568828804,0.3136790745319131,0.9949526633060215
moderate,base,fitted_moment,56.0,0.9745068568828804,0.3136790745319131,0.9949526633060215
moderate,base,fitted_moment,64.0,0.9745068568828804,0.3136790745319131,0.9949237842930418
moderate,base,fitted_moment,80.0,0.9782918602223497,0.3136790745319131,0.9949526633060215
moderate,base,fitted_moment,84.0,0.9782918602223497,0.3136790745319131,0.9949526633060215
moderate,base,fitted_moment,96.0,0.9782918602223497,0.3136790745319131,0.9949526633060215
moderate,base,fitted_moment,120.0,0.9782918602223497,0.3136790745319131,0.9949526633060215
moderate,base,fitted_moment,160.0,0.9764030612244897,0.3136790745319131,0.9949237842930418
moderate,base,onebqf_cos,1.0,0.4875714935655791,0.3136790745319131,0.9949526633060215
moderate,fork_b0.5,classical_invA,,0.9724737476329833,0.3059612169419394,0.9949333376117055
moderate,fork_b0.5,comb_prod,4.0,0.4814401298477732,0.3218449305263926,0.9917556224110495
moderate,fork_b0.5,comb_prod,8.0,0.973870726634603,0.32311956949532256,0.9923518133367997
