setout,regime,T,rep,family,degree,gamma,occ_alpha,eps_scale,kernel,fork_beta,eps,lam_min,lam_max,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,cos_C,notes
occ_a0.05,moderate,200,7,fitted_moment,80.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.0883713919857592,43.901668072035775,0.015018773466833541,0.9911838790931989,0.018610421836228287,0.9962216624685138,0.14162162162162162,1.0,0.7720403022670025,0.9886649874055415,0.12270774186699425,mu=0.0139
occ_a0.05,moderate,200,7,fitted_moment,84.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.0883713919857592,43.901668072035775,0.013784461152882205,0.9911838790931989,0.01982651796778191,0.9962216624685138,0.1703239289446186,1.0,0.7984886649874056,0.9886649874055415,0.1216870029676184,mu=0.00646
occ_a0.05,moderate,200,7,fitted_moment,160.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.0883713919857592,43.901668072035775,0.01625,0.9911838790931989,0.022249690976514216,0.9962216624685138,0.1650893796004206,1.0,0.628463476070529,0.9874055415617129,0.12332022079602331,mu=0.0646
occ_a0.05,moderate,200,7,fitted_moment,164.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.0883713919857592,43.901668072035775,0.012547051442910916,0.9911838790931989,0.028255528255528257,0.9962216624685138,0.2313649564375605,1.0,0.48866498740554154,0.9886649874055415,0.12686473513701713,mu=0.646
occ_a0.05,moderate,200,7,comb_prod,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.0883713919857592,43.901668072035775,0.3408710217755444,0.9911838790931989,0.767830936307602,0.9962216624685138,0.9950000314859478,1.0,0.0,0.49748110831234255,0.6074336443506609,
occ_a0.05,moderate,200,7,comb_prod,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.0883713919857592,43.901668072035775,0.3414225941422594,0.9911838790931989,0.9902137873014302,0.9962216624685138,0.9950000314859478,1.0,0.0,0.49622166246851385,0.8815111710249761,
occ_a0.05,moderate,200,7,normalized_half_comb,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.0883713919857592,43.901668072035775,0.9934418306209012,0.9911838790931989,0.9942662046769213,0.9962216624685138,0.99499738528324,1.0,0.0,0.0,0.9981437293462182,
occ_a0.05,moderate,200,7,normalized_half_comb,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,1.0883713919857592,43.901668072035775,0.9947789512790575,0.9911838790931989,0.9947525540666048,0.9962216624685138,0.99499738528324,1.0,0.0,0.0,0.9902737767982632,
occ_a0.05,moderate,200,8,classical_invA,,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.0226563875261676,43.80070854664223,0.021410579345088162,0.9910714285714286,0.036991368680641186,0.9961734693877551,0.07218934911242604,1.0,0.4923469387755102,0.4961734693877551,1.0,fixed-tau 0.386: eff 0.0000 far 0.0000
occ_a0.05,moderate,200,8,fitted_moment,80.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.0226563875261676,43.80070854664223,0.008928571428571428,0.9910714285714286,0.01139240506329114,0.9961734693877551,0.012594458438287154,1.0,0.9757653061224489,0.9923469387755102,0.1258089511019263,mu=0.003
occ_a0.05,moderate,200,8,fitted_moment,84.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.0226563875261676,43.80070854664223,0.01019108280254777,0.9910714285714286,0.01139240506329114,0.9961734693877551,0.01631116687578419,1.0,0.9744897959183674,0.9897959183673469,0.1258144784909323,mu=0.003
occ_a0.05,moderate,200,8,fitted_moment,160.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.0226563875261676,43.80070854664223,0.011450381679389313,0.9910714285714286,0.013888888888888888,0.9961734693877551,0.024875621890547265,1.0,0.9732142857142857,0.9897959183673469,0.12554003110172718,mu=0.00646
occ_a0.05,moderate,200,8,fitted_moment,164.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.0226563875261676,43.80070854664223,0.011450381679389313,0.9910714285714286,0.01139240506329114,0.9961734693877551,0.034482758620689655,1.0,0.9732142857142857,0.9885204081632653,0.1254594509621684,mu=0.003
occ_a0.05,moderate,200,8,comb_prod,40.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.0226563875261676,43.80070854664223,0.28122109158186864,0.9910714285714286,0.2821691176470588,0.9961734693877551,0.282708142726441,1.0,0.002551020408163265,0.4885204081632653,0.8050614926936287,
occ_a0.05,moderate,200,8,comb_prod,44.0,3.0,0.05,3.0,step,0.0,0.0031777035588293387,2.0226563875261676,43.80070854664223,0.28122109158186864,0.9910714285714286,0.2821691176470588,0.9961734693877551,0.9805810814157977,1.0,0.002551020408163265,0.49362244897959184,0.6895699432064192,
