setout,regime,T,rep,family,degree,gamma,occ_alpha,eps_scale,kernel,fork_beta,eps,lam_min,lam_max,far_e990,eff_e990,far_e995,eff_e995,far_e999,eff_e999,eff_f001,eff_f010,cos_C,notes,eff_fixed_tau,far_fixed_tau,tau_fixed
base,moderate,400,3,fitted_moment,80.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.2762465831191614,6.723753416880843,0.6532596685082873,0.9974570883661792,0.6532596685082873,0.9974570883661792,0.9974983937556856,1.0,0.2581055308328036,0.9586776859504132,0.0839423471023279,mu=0.646,,,
base,moderate,400,3,comb_prod,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.2762465831191614,6.723753416880843,0.9975114047305672,0.9904640813731724,0.9974986085712014,1.0,0.9974986085712014,1.0,0.0,0.9078194532739988,0.7913062027582138,,,,
base,moderate,400,3,comb_prod,44.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.2762465831191614,6.723753416880843,0.6539315859617948,0.9904640813731724,0.997509664758894,0.9955499046408136,0.9974986085712014,1.0,0.0,0.9078194532739988,0.454668430238232,,,,
base,moderate,400,3,normalized_half_comb,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.2762465831191614,6.723753416880843,0.6530115146147033,0.996185632549269,0.6530115146147033,0.996185632549269,0.9974986085712014,1.0,0.0,0.9459631277813096,0.1935377153985468,,,,
base,moderate,400,3,normalized_half_comb,44.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.2762465831191614,6.723753416880843,0.6509074613488685,0.9904640813731724,0.6533952665339526,0.996185632549269,0.9974986085712014,1.0,0.0,0.9459631277813096,0.0980614876298034,,,,
base,moderate,400,4,classical_invA,,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.272835159726346,6.72716484027368,0.6608905461724063,0.9910256410256412,0.9975003765458408,1.0,0.9975003765458408,1.0,0.0032051282051282,0.0032051282051282,0.9999999999999998,fixed-tau 0.350: eff 0.9808 far 0.1467,,,
base,moderate,400,4,fitted_moment,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.272835159726346,6.72716484027368,0.6608905461724063,0.9910256410256412,0.9975003645301728,1.0,0.9975003645301728,1.0,0.0314102564102564,0.9262820512820512,0.0860846706906659,mu=0.646,,,
base,moderate,400,4,fitted_moment,80.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.272835159726346,6.72716484027368,0.6605927552140505,0.9910256410256412,0.9975003765458408,1.0,0.9975003765458408,1.0,0.0596153846153846,0.928846153846154,0.0690446217958364,mu=0.003,,,
base,moderate,400,4,comb_prod,40.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.272835159726346,6.72716484027368,0.9975019748659254,0.9993589743589744,0.9975019748659254,0.9993589743589744,0.9975019748659254,0.9993589743589744,0.0,0.4307692307692308,0.7997811985274103,,,,
base,moderate,400,4,comb_prod,44.0,3.0,0.0,3.0,step,0.0,0.0031777035588293,1.272835159726346,6.72716484027368,0.9975147337352062,0.9942307692307693,0.997503573191132,0.9987179487179488,0.9975019748659254,0.9993589743589744,0.0,0.4307692307692308,0.4623567359676571,,,,
