n_trk,rep,n_true_clean,n_true_C,n_active_C,n_false_C,n_true_Q,n_active_Q,n_false_Q,n_true_total,n_false_total,success_prob,t_quantum,se_C,se_Q,fr_C,fr_Q
100,30008,400,376,376,0,346,359,13,386,38223,0.001711,67.50994801521301,94.0,86.5,0.0,3.6211699164345403
100,30009,400,387,387,0,340,346,6,393,38909,0.001667,26.530693769454956,96.75,85.0,0.0,1.7341040462427746
150,30000,600,578,578,0,452,503,51,588,87618,0.001367,39.997196674346924,96.33333333333333,75.33333333333333,0.0,10.139165009940358
150,30001,600,582,582,0,445,488,43,590,87916,0.001322,130.88715744018555,97.0,74.16666666666667,0.0,8.811475409836065
150,30002,600,574,576,2,434,483,49,586,87324,0.001341,85.77216792106628,95.66666666666667,72.33333333333333,0.3472222222222222,10.144927536231885
150,30003,600,581,584,3,470,512,42,589,87768,0.001409,135.13499355316162,96.83333333333333,78.33333333333333,0.5136986301369864,8.203125
150,30004,600,580,580,0,449,497,48,587,87473,0.001372,73.55974125862122,96.66666666666667,74.83333333333333,0.0,9.6579476861167
200,30000,800,749,755,6,450,515,65,771,153483,0.00088,64.18882417678833,93.625,56.25,0.7947019867549668,12.62135922330097
200,30001,800,773,773,0,450,514,64,784,156034,0.000941,74.952627658844,96.625,56.25,0.0,12.45136186770428
200,30002,800,756,756,0,448,509,61,776,154459,0.000883,69.58099555969238,94.5,56.0,0.0,11.984282907662083
200,30003,800,781,789,8,460,523,63,789,157018,0.000935,173.17828965187073,97.625,57.5,1.0139416983523448,12.045889101338432
200,30004,800,766,769,3,470,541,71,781,155243,0.000955,96.10376811027527,95.75,58.75,0.39011703511053314,13.123844731977819
300,30000,1200,1175,1189,14,484,616,132,1183,353740,0.000863,155.80288100242615,97.91666666666667,40.333333333333336,1.1774600504625736,21.428571428571427
300,30001,1200,1150,1174,24,448,571,123,1172,350173,0.000775,140.27478861808777,95.83333333333333,37.333333333333336,2.0442930153321974,21.541155866900176
300,30002,1200,1160,1186,26,458,592,134,1175,351359,0.000841,373.32188510894775,96.66666666666667,38.166666666666664,2.1922428330522767,22.635135135135137
500,30000,2000,1936,2015,79,444,791,347,1956,976150,0.000924,428.8760108947754,96.8,22.2,3.9205955334987594,43.8685208596713
500,30001,2000,1945,2067,122,455,776,321,1967,981599,0.000883,753.9243805408478,97.25,22.75,5.902273826802129,41.365979381443296
500,30002,2000,1944,2022,78,433,714,281,1966,981108,0.000825,442.4858195781708,97.2,21.65,3.857566765578635,39.35574229691877
750,30000,3000,2910,3301,391,191,477,286,2950,2209689,0.00049,4996.3170664310455,97.0,6.366666666666666,11.844895486216299,59.958071278826
750,30001,3000,2915,3169,254,195,447,252,2947,2207475,0.000467,3427.5331795215607,97.16666666666667,6.5,8.015146733985484,56.375838926174495
