comp,kind,lam,size
478,isolated_false,0.0,1
479,isolated_false,0.0,1
480,isolated_false,0.0,1
481,isolated_false,0.0,1
482,isolated_false,0.0,1
483,isolated_false,0.0,1
484,isolated_false,0.0,1
485,isolated_false,0.0,1
486,isolated_false,0.0,1
487,isolated_false,0.0,1
488,isolated_false,0.0,1
489,isolated_false,0.0,1
490,isolated_false,0.0,1
491,isolated_false,0.0,1
492,isolated_false,0.0,1
493,isolated_false,0.0,1
494,isolated_false,0.0,1
495,isolated_false,0.0,1
496,isolated_false,0.0,1
497,isolated_false,0.0,1
498,isolated_false,0.0,1
499,isolated_false,0.0,1
500,isolated_false,0.0,1
501,isolated_false,0.0,1
502,isolated_false,0.0,1
503,isolated_false,0.0,1
504,isolated_false,0.0,1
505,isolated_false,0.0,1
506,isolated_false,0.0,1
507,isolated_false,0.0,1
508,isolated_false,0.0,1
509,isolated_false,0.0,1
510,isolated_false,0.0,1
511,isolated_false,0.0,1
512,isolated_false,0.0,1
513,isolated_false,0.0,1
514,isolated_false,0.0,1
515,isolated_false,0.0,1
516,isolated_false,0.0,1
517,isolated_false,0.0,1
518,isolated_false,0.0,1
519,isolated_false,0.0,1
520,isolated_false,0.0,1
521,isolated_false,0.0,1
522,isolated_false,0.0,1
523,isolated_false,0.0,1
524,isolated_false,0.0,1
525,isolated_false,0.0,1
526,isolated_false,0.0,1
527,isolated_false,0.0,1
528,isolated_false,0.0,1
529,isolated_false,0.0,1
530,isolated_false,0.0,1
531,isolated_false,0.0,1
532,isolated_false,0.0,1
533,isolated_false,0.0,1
534,isolated_false,0.0,1
535,isolated_false,0.0,1
536,isolated_false,0.0,1
537,isolated_false,0.0,1
538,isolated_false,0.0,1
539,isolated_false,0.0,1
540,isolated_false,0.0,1
541,isolated_false,0.0,1
542,isolated_false,0.0,1
543,isolated_false,0.0,1
544,isolated_false,0.0,1
545,isolated_false,0.0,1
546,isolated_false,0.0,1
547,isolated_false,0.0,1
548,isolated_false,0.0,1
549,isolated_false,0.0,1
550,isolated_false,0.0,1
551,isolated_false,0.0,1
552,isolated_false,0.0,1
553,isolated_false,0.0,1
554,isolated_false,0.0,1
555,isolated_false,0.0,1
556,isolated_false,0.0,1
557,isolated_false,0.0,1
558,isolated_false,0.0,1
559,isolated_false,0.0,1
560,isolated_false,0.0,1
561,isolated_false,0.0,1
562,isolated_false,0.0,1
563,isolated_false,0.0,1
564,isolated_false,0.0,1
565,isolated_false,0.0,1
566,isolated_false,0.0,1
567,isolated_false,0.0,1
568,isolated_false,0.0,1
569,isolated_false,0.0,1
570,isolated_false,0.0,1
571,isolated_false,0.0,1
572,isolated_false,0.0,1
573,isolated_false,0.0,1
574,isolated_false,0.0,1
575,isolated_false,0.0,1
576,isolated_false,0.0,1
577,isolated_false,0.0,1
578,isolated_false,0.0,1
579,isolated_false,0.0,1
580,isolated_false,0.0,1
581,isolated_false,0.0,1
582,isolated_false,0.0,1
583,isolated_false,0.0,1
584,isolated_false,0.0,1
585,isolated_false,0.0,1
586,isolated_false,0.0,1
587,isolated_false,0.0,1
588,isolated_false,0.0,1
589,isolated_false,0.0,1
590,isolated_false,0.0,1
591,isolated_false,0.0,1
592,isolated_false,0.0,1
593,isolated_false,0.0,1
594,isolated_false,0.0,1
595,isolated_false,0.0,1
596,isolated_false,0.0,1
597,isolated_false,0.0,1
598,isolated_false,0.0,1
599,isolated_false,0.0,1
600,isolated_false,0.0,1
601,isolated_false,0.0,1
602,isolated_false,0.0,1
603,pure_true,-0.9999999999999998,4
603,pure_true,-0.49999999999999994,4
603,pure_true,0.4999999999999998,4
603,pure_true,1.0000000000000002,4
604,isolated_false,0.0,1
605,isolated_false,0.0,1
606,isolated_false,0.0,1
607,isolated_false,0.0,1
608,isolated_false,0.0,1
609,isolated_false,0.0,1
610,isolated_false,0.0,1
611,isolated_false,0.0,1
612,isolated_false,0.0,1
613,isolated_false,0.0,1
614,isolated_false,0.0,1
615,isolated_false,0.0,1
616,isolated_false,0.0,1
617,isolated_false,0.0,1
618,isolated_false,0.0,1
619,isolated_false,0.0,1
620,isolated_false,0.0,1
621,isolated_false,0.0,1
622,isolated_false,0.0,1
623,isolated_false,0.0,1
624,isolated_false,0.0,1
625,isolated_false,0.0,1
626,isolated_false,0.0,1
627,isolated_false,0.0,1
628,isolated_false,0.0,1
629,isolated_false,0.0,1
630,isolated_false,0.0,1
631,isolated_false,0.0,1
632,isolated_false,0.0,1
633,isolated_false,0.0,1
634,isolated_false,0.0,1
635,isolated_false,0.0,1
636,isolated_false,0.0,1
637,isolated_false,0.0,1
638,isolated_false,0.0,1
639,isolated_false,0.0,1
640,isolated_false,0.0,1
641,isolated_false,0.0,1
642,isolated_false,0.0,1
643,isolated_false,0.0,1
644,isolated_false,0.0,1
645,isolated_false,0.0,1
646,isolated_false,0.0,1
647,isolated_false,0.0,1
648,isolated_false,0.0,1
649,isolated_false,0.0,1
650,isolated_false,0.0,1
651,isolated_false,0.0,1
652,isolated_false,0.0,1
653,isolated_false,0.0,1
654,isolated_false,0.0,1
655,isolated_false,0.0,1
656,isolated_false,0.0,1
657,isolated_false,0.0,1
658,isolated_false,0.0,1
659,isolated_false,0.0,1
660,isolated_false,0.0,1
661,isolated_false,0.0,1
662,isolated_false,0.0,1
663,isolated_false,0.0,1
664,isolated_false,0.0,1
665,isolated_false,0.0,1
666,isolated_false,0.0,1
667,isolated_false,0.0,1
668,isolated_false,0.0,1
669,isolated_false,0.0,1
670,isolated_false,0.0,1
671,isolated_false,0.0,1
672,isolated_false,0.0,1
673,isolated_false,0.0,1
674,isolated_false,0.0,1
675,isolated_false,0.0,1
676,isolated_false,0.0,1
677,isolated_false,0.0,1
678,isolated_false,0.0,1
679,isolated_false,0.0,1
680,isolated_false,0.0,1
681,isolated_false,0.0,1
682,isolated_false,0.0,1
683,isolated_false,0.0,1
684,isolated_false,0.0,1
685,isolated_false,0.0,1
686,isolated_false,0.0,1
687,isolated_false,0.0,1
688,isolated_false,0.0,1
689,isolated_false,0.0,1
690,isolated_false,0.0,1
691,isolated_false,0.0,1
692,isolated_false,0.0,1
693,isolated_false,0.0,1
694,isolated_false,0.0,1
695,isolated_false,0.0,1
696,isolated_false,0.0,1
697,isolated_false,0.0,1
698,isolated_false,0.0,1
699,isolated_false,0.0,1
700,isolated_false,0.0,1
701,isolated_false,0.0,1
702,isolated_false,0.0,1
703,isolated_false,0.0,1
704,isolated_false,0.0,1
705,isolated_false,0.0,1
706,isolated_false,0.0,1
707,isolated_false,0.0,1
708,isolated_false,0.0,1
709,isolated_false,0.0,1
710,isolated_false,0.0,1
711,isolated_false,0.0,1
712,isolated_false,0.0,1
713,isolated_false,0.0,1
714,isolated_false,0.0,1
715,isolated_false,0.0,1
716,isolated_false,0.0,1
717,isolated_false,0.0,1
718,isolated_false,0.0,1
719,isolated_false,0.0,1
720,isolated_false,0.0,1
721,isolated_false,0.0,1
722,isolated_false,0.0,1
723,isolated_false,0.0,1
724,isolated_false,0.0,1
725,isolated_false,0.0,1
726,isolated_false,0.0,1
727,isolated_false,0.0,1
728,isolated_false,0.0,1
729,isolated_false,0.0,1
730,isolated_false,0.0,1
731,isolated_false,0.0,1
732,isolated_false,0.0,1
733,isolated_false,0.0,1
734,isolated_false,0.0,1
735,isolated_false,0.0,1
736,isolated_false,0.0,1
737,isolated_false,0.0,1
738,isolated_false,0.0,1
739,isolated_false,0.0,1
740,isolated_false,0.0,1
741,isolated_false,0.0,1
742,isolated_false,0.0,1
743,isolated_false,0.0,1
744,isolated_false,0.0,1
745,isolated_false,0.0,1
746,isolated_false,0.0,1
747,isolated_false,0.0,1
748,isolated_false,0.0,1
749,isolated_false,0.0,1
750,isolated_false,0.0,1
751,isolated_false,0.0,1
752,isolated_false,0.0,1
753,isolated_false,0.0,1
754,isolated_false,0.0,1
755,isolated_false,0.0,1
756,isolated_false,0.0,1
757,isolated_false,0.0,1
758,isolated_false,0.0,1
759,isolated_false,0.0,1
760,isolated_false,0.0,1
761,isolated_false,0.0,1
762,isolated_false,0.0,1
763,isolated_false,0.0,1
764,isolated_false,0.0,1
765,isolated_false,0.0,1
766,isolated_false,0.0,1
767,isolated_false,0.0,1
768,isolated_false,0.0,1
769,isolated_false,0.0,1
770,isolated_false,0.0,1
771,isolated_false,0.0,1
772,isolated_false,0.0,1
773,isolated_false,0.0,1
774,isolated_false,0.0,1
775,isolated_false,0.0,1
776,isolated_false,0.0,1
777,isolated_false,0.0,1
778,isolated_false,0.0,1
779,isolated_false,0.0,1
780,isolated_false,0.0,1
781,isolated_false,0.0,1
782,isolated_false,0.0,1
783,isolated_false,0.0,1
784,isolated_false,0.0,1
785,isolated_false,0.0,1
786,isolated_false,0.0,1
787,isolated_false,0.0,1
788,isolated_false,0.0,1
789,isolated_false,0.0,1
790,isolated_false,0.0,1
791,isolated_false,0.0,1
792,isolated_false,0.0,1
793,isolated_false,0.0,1
794,isolated_false,0.0,1
795,isolated_false,0.0,1
796,isolated_false,0.0,1
797,isolated_false,0.0,1
798,isolated_false,0.0,1
799,isolated_false,0.0,1
800,isolated_false,0.0,1
801,isolated_false,0.0,1
802,isolated_false,0.0,1
803,isolated_false,0.0,1
804,pure_true,-0.9999999999999998,4
804,pure_true,-0.49999999999999994,4
804,pure_true,0.4999999999999998,4
804,pure_true,1.0000000000000002,4
805,isolated_false,0.0,1
806,isolated_false,0.0,1
807,isolated_false,0.0,1
808,isolated_false,0.0,1
809,isolated_false,0.0,1
810,isolated_false,0.0,1
811,isolated_false,0.0,1
812,isolated_false,0.0,1
813,isolated_false,0.0,1
814,isolated_false,0.0,1
815,isolated_false,0.0,1
816,isolated_false,0.0,1
817,isolated_false,0.0,1
818,isolated_false,0.0,1
819,isolated_false,0.0,1
820,isolated_false,0.0,1
821,isolated_false,0.0,1
822,isolated_false,0.0,1
823,isolated_false,0.0,1
824,isolated_false,0.0,1
825,isolated_false,0.0,1
826,isolated_false,0.0,1
827,isolated_false,0.0,1
828,isolated_false,0.0,1
829,isolated_false,0.0,1
830,isolated_false,0.0,1
831,isolated_false,0.0,1
832,isolated_false,0.0,1
833,isolated_false,0.0,1
834,isolated_false,0.0,1
835,isolated_false,0.0,1
836,isolated_false,0.0,1
837,isolated_false,0.0,1
838,isolated_false,0.0,1
839,isolated_false,0.0,1
840,isolated_false,0.0,1
841,isolated_false,0.0,1
842,isolated_false,0.0,1
843,isolated_false,0.0,1
844,isolated_false,0.0,1
845,isolated_false,0.0,1
846,isolated_false,0.0,1
847,isolated_false,0.0,1
848,isolated_false,0.0,1
849,isolated_false,0.0,1
850,isolated_false,0.0,1
851,isolated_false,0.0,1
852,isolated_false,0.0,1
853,isolated_false,0.0,1
854,isolated_false,0.0,1
855,isolated_false,0.0,1
856,isolated_false,0.0,1
857,isolated_false,0.0,1
858,isolated_false,0.0,1
859,isolated_false,0.0,1
860,isolated_false,0.0,1
861,isolated_false,0.0,1
862,isolated_false,0.0,1
863,isolated_false,0.0,1
864,isolated_false,0.0,1
865,isolated_false,0.0,1
866,isolated_false,0.0,1
867,isolated_false,0.0,1
868,isolated_false,0.0,1
