n_trk,tau,eff,eff_s,pur,pur_s,fr,fr_s,qmax,n_reps,f1
50,2.6,0.002,0.00098675438206593,0.2,0.0917662935482247,0.0,0.0,2.6031047360978725,20,0.0039603960396039604
50,2.8,0.00125,0.0006150524153958023,0.2,0.0917662935482247,0.0,0.0,2.6031047360978725,20,0.002484472049689441
50,3.0,0.00125,0.0006150524153958023,0.2,0.0917662935482247,0.0,0.0,2.6031047360978725,20,0.002484472049689441
50,3.2,0.00025,0.00025,0.05,0.04999999999999999,0.0,0.0,2.6031047360978725,20,0.0004975124378109452
50,3.4,0.00025,0.00025,0.05,0.04999999999999999,0.0,0.0,2.6031047360978725,20,0.0004975124378109452
50,3.6,0.0,0.0,0.0,0.0,0.0,0.0,2.6031047360978725,20,0.0
50,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2.6031047360978725,20,0.0
50,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6031047360978725,20,0.0
50,4.2,0.0,0.0,0.0,0.0,0.0,0.0,2.6031047360978725,20,0.0
50,4.4,0.0,0.0,0.0,0.0,0.0,0.0,2.6031047360978725,20,0.0
50,4.6,0.0,0.0,0.0,0.0,0.0,0.0,2.6031047360978725,20,0.0
50,4.8,0.0,0.0,0.0,0.0,0.0,0.0,2.6031047360978725,20,0.0
50,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6031047360978725,20,0.0
100,0.1,0.979875,0.0016669681744823,0.9536125706623896,0.003146891913208496,0.046387429337610524,0.003146891913208496,4.066632385186812,20,0.9665654249410949
100,0.15,0.979875,0.0016669681744823,0.9536125706623896,0.003146891913208496,0.046387429337610524,0.003146891913208496,4.066632385186812,20,0.9665654249410949
100,0.2,0.979875,0.0016669681744823,0.9536125706623896,0.003146891913208496,0.046387429337610524,0.003146891913208496,4.066632385186812,20,0.9665654249410949
100,0.25,0.979875,0.0016669681744823,0.9536125706623896,0.003146891913208496,0.046387429337610524,0.003146891913208496,4.066632385186812,20,0.9665654249410949
100,0.3,0.979875,0.0016669681744823,0.9536125706623896,0.003146891913208496,0.046387429337610524,0.003146891913208496,4.066632385186812,20,0.9665654249410949
100,0.35,0.979875,0.0016669681744823,0.9536125706623896,0.003146891913208496,0.046387429337610524,0.003146891913208496,4.066632385186812,20,0.9665654249410949
100,0.4,0.979875,0.0016669681744823,0.9536125706623896,0.003146891913208496,0.046387429337610524,0.003146891913208496,4.066632385186812,20,0.9665654249410949
100,0.45,0.979875,0.0016669681744823,0.9536125706623896,0.003146891913208496,0.046387429337610524,0.003146891913208496,4.066632385186812,20,0.9665654249410949
100,0.5,0.979875,0.0016669681744823,0.9536125706623896,0.003146891913208496,0.046387429337610524,0.003146891913208496,4.066632385186812,20,0.9665654249410949
100,0.55,0.979875,0.0016669681744823,0.9536125706623896,0.003146891913208496,0.046387429337610524,0.003146891913208496,4.066632385186812,20,0.9665654249410949
100,0.6,0.9797499999999999,0.001700425643308482,0.953604251958501,0.00315009994587228,0.04639574804149909,0.0031500999458722793,4.066632385186812,20,0.9665003347523046
100,0.65,0.9797499999999999,0.001700425643308482,0.953604251958501,0.00315009994587228,0.04639574804149909,0.0031500999458722793,4.066632385186812,20,0.9665003347523046
100,0.7,0.9797499999999999,0.001700425643308482,0.953604251958501,0.00315009994587228,0.04639574804149909,0.0031500999458722793,4.066632385186812,20,0.9665003347523046
