solver,phi_max,sigma_scatt,n_trk,n_rep,n_valid,excluded_frac,density,eff,eff_sem,far,far_sem,pur,pur_sem,cos_QC
qsvt,0.02,0.0001,400,3,3,0.0,1000000.0,89.83333333333333,1.3411230782859236,1.03842889262112,0.23181027255385633,98.96157110737887,0.231810272553861,0.9348300420317089
qsvt,0.02,0.0001,700,3,3,0.0,1750000.0,79.42857142857143,0.9184429296183801,12.718116581856757,1.5839973773855316,87.28188341814324,1.583997377385532,0.8835544664931773
qsvt,0.02,0.0001,1000,3,3,0.0,2500000.0,68.93333333333334,0.9458608659722492,58.684947832562926,7.72104685117369,41.315052167437074,7.721046851173692,0.8820570439785161
qsvt,0.02,0.0003,10,3,3,0.0,25000.0,90.0,10.000000000000002,0.0,0.0,100.0,0.0,0.9576722150429734
qsvt,0.02,0.0003,20,3,3,0.0,50000.0,96.66666666666667,3.3333333333333335,0.0,0.0,100.0,0.0,0.9903816771355531
qsvt,0.02,0.0003,50,3,3,0.0,125000.0,90.66666666666667,1.7638342073763937,0.0,0.0,100.0,0.0,0.9720515801080775
qsvt,0.02,0.0003,100,3,3,0.0,250000.0,77.33333333333333,2.0275875100994067,3.3176691729323298,0.34689661619674866,96.68233082706767,0.3468966161967453,0.8478086461971776
qsvt,0.02,0.0003,200,3,3,0.0,500000.0,53.958333333333336,1.571778009488334,58.96816869232503,2.25820526527761,41.03183130767497,2.258205265277612,0.8169336564885764
qsvt,0.02,0.0003,400,3,3,0.0,1000000.0,54.583333333333336,1.8047006523089772,94.0427175742152,0.25585201899878973,5.957282425784797,0.25585201899879073,0.642853580350591
qsvt,0.02,0.0003,700,3,1,0.6666666666666667,1750000.0,,,,,,,
qsvt,0.02,0.0003,1000,3,0,1.0,2500000.0,,,,,,,
qsvt,0.05,0.0001,10,3,3,0.0,3999.999999999999,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189006492
qsvt,0.05,0.0001,20,3,3,0.0,7999.999999999998,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189136399
qsvt,0.05,0.0001,50,3,3,0.0,19999.999999999996,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189457738
qsvt,0.05,0.0001,100,3,3,0.0,39999.99999999999,99.66666666666667,0.3333333333333333,0.0,0.0,100.0,0.0,0.9999978189495433
qsvt,0.05,0.0001,200,3,3,0.0,79999.99999999999,99.16666666666667,0.44095855184409843,0.0,0.0,100.0,0.0,0.9973537016009771
qsvt,0.05,0.0001,400,3,3,0.0,159999.99999999997,96.83333333333333,0.16666666666666669,0.0,0.0,100.0,0.0,0.9862194478455538
qsvt,0.05,0.0001,700,3,3,0.0,279999.99999999994,94.86904761904763,0.6429673626852747,0.06346788525006333,0.06346788525006333,99.93653211474994,0.0634678852500675,0.9709291017794386
qsvt,0.05,0.0001,1000,3,3,0.0,399999.99999999994,93.61666666666667,0.28915585954829187,0.22210079164719002,0.009561589682981616,99.77789920835282,0.009561589682978381,0.9566769791101363
qsvt,0.05,0.0003,10,3,3,0.0,3999.999999999999,100.0,0.0,0.0,0.0,100.0,0.0,0.9999978189006492
