task,n_tracks,angle,sigma_scatt,sigma_res,epsilon,n_events,efficiency_mean,efficiency_se,efficiency_std,ghost_rate_mean,ghost_rate_se,ghost_rate_std,clone_fraction_mean,clone_fraction_se,clone_fraction_std,mean_purity_mean,mean_purity_se,mean_purity_std,hit_efficiency_mean,hit_efficiency_se,hit_efficiency_std,wall_time_total_s
verify_scatt,50,0.2,5e-05,0.0,0.00021319005605327846,20,0.985,0.008690587770080553,0.03886549003665686,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,89.78
verify_scatt,100,0.2,5e-05,0.0,0.00021319005605327846,20,0.9875,0.007177266742621235,0.03209771265829914,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9998000000000001,0.00013764944032233718,0.0006155870112510931,1208.28
verify_scatt,10,0.2,0.0001,0.0,0.0004247940677551889,20,0.9949999999999999,0.004999999999999998,0.02236067977499789,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6599999999999999
verify_scatt,20,0.2,0.0001,0.0,0.0004247940677551889,20,0.9875,0.01017931338807444,0.04552327340001629,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.98
verify_scatt,50,0.2,0.0001,0.0,0.0004247940677551889,20,0.99,0.008143450710459554,0.03641861872001304,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,117.26
verify_scatt,100,0.2,0.0001,0.0,0.0004247940677551889,20,0.9494999999999999,0.049976178535904796,0.22350026492389807,0.05,0.04999999999999999,0.22360679774997894,0.0,0.0,0.0,0.95,0.05000000000000001,0.22360679774997902,0.95,0.05000000000000001,0.22360679774997902,1297.06
verify_scatt,10,0.2,0.0002,0.0,0.0008487932610477066,20,0.9800000000000001,0.015559732104309984,0.06958523739384595,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.76
verify_scatt,20,0.2,0.0002,0.0,0.0008487932610477066,20,0.9924999999999999,0.005471216549024156,0.024468024246479647,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.08
verify_scatt,50,0.2,0.0002,0.0,0.0008487932610477066,20,0.9789999999999999,0.01137633739968971,0.05087652752135878,0.0031037414965986395,0.002271065141606892,0.010156512075926393,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,91.26
verify_scatt,100,0.2,0.0002,0.0,0.0008487932610477066,20,0.9925,0.00699153623657694,0.03126710058427818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1004.73
verify_scatt,10,0.2,0.0004,0.0,0.0016971888521905864,20,0.975,0.01428101426443698,0.06386663736585049,0.005555555555555555,0.005555555555555555,0.024845199749997663,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.81
verify_scatt,20,0.2,0.0004,0.0,0.0016971888521905864,20,0.9824999999999999,0.010434633627845703,0.046665100224336474,0.005555555555555555,0.005555555555555554,0.02484519974999766,0.0,0.0,0.0,1.0,0.0,0.0,0.9994999999999999,0.0005000000000000004,0.0022360679774997916,4.94
