sigma_res,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.05,0.0003,400,sol_4e7c6f8e57c81849,ev_69d6ef8d9f5d,hm_8c986396d3ec,97.27743530273438,True
0.02,0.0003,100,sol_c858729d785888a9,ev_6a1c26114bd9,hm_1602ff939866,0.6289995908737183,False
0.05,0.0001,100,sol_fed0c7a120fa08ba,ev_6a2128bb8420,hm_9108b6e19b67,1.9432904720306396,False
0.05,0.0001,400,sol_32eaf7c53c7d1983,ev_6a2a5eaab4cc,hm_9108b6e19b67,86.74869537353516,True
0.02,0.0003,20,sol_1f002a90a15b2126,ev_6a8b0babfa5c,hm_1602ff939866,0.6000000238418579,False
0.05,0.0005,200,sol_98cdf3c3806d2a76,ev_6aa03a7dedc6,hm_af8fc4d5852f,5.819136619567871,False
0.02,0.0003,700,sol_b895bee92dd28b3d,ev_6ad61f147de8,hm_1602ff939866,5.875696659088135,False
0.0,0.0005,10,sol_f8580603421302d6,ev_6ad823bb05c3,hm_7a9cff01f511,0.4545454680919647,False
0.0,0.0003,10,sol_0e791a5c4ba9edaa,ev_6ae7a629756f,hm_a0f8ed47a107,0.4545454680919647,False
0.05,0.0001,200,sol_02754594dae0305f,ev_6af347d6d468,hm_9108b6e19b67,16.539865493774414,False
0.05,0.0001,20,sol_8ba207ca8a2b8d99,ev_6afb962800c2,hm_9108b6e19b67,0.5670102834701538,False
0.01,0.0001,1000,sol_b8e82ab39a13ed39,ev_6b2509c14e76,hm_844cdcf42c7e,1.7316282987594604,False
0.01,0.0001,10,sol_31cbd78852a8024e,ev_6b2f390b6994,hm_844cdcf42c7e,0.4545454680919647,False
0.0,0.0001,400,sol_738eb0ced0dea1d8,ev_6b4ab2037287,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0003,50,sol_76aa2e0e125b3be8,ev_6b576f78e2a4,hm_3298667cddaa,0.5669755339622498,False
0.01,0.0001,100,sol_31cb0657933e774f,ev_6b581f9be7aa,hm_844cdcf42c7e,0.599902868270874,False
0.05,0.0001,700,sol_b15e6a908c7e5d50,ev_6b6ea6b09df6,hm_9108b6e19b67,1140.6302490234375,True
0.02,0.0003,1000,sol_dc98db406b2c5d21,ev_6b7eac8084ef,hm_1602ff939866,3.8689942359924316,False
0.01,0.0003,400,sol_4bbeedce56557a82,ev_6b8fd6ca985c,hm_3298667cddaa,1.4999853372573853,False
0.01,0.0005,1000,sol_2c4dfc918f9456ad,ev_6ba38b092d59,hm_bd4d3751a16f,1.4996116161346436,False
0.05,0.0003,10,sol_4330a713152b3652,ev_6bcd42ee9f30,hm_8c986396d3ec,0.4545454680919647,False
0.05,0.0003,1000,sol_8ec20eaf850a81ce,ev_6be476fda3bb,hm_8c986396d3ec,1152.3641357421875,True
0.05,0.0005,1000,sol_56d5f0f2028c280a,ev_6bed16cebe3f,hm_af8fc4d5852f,1124.0787353515625,True
0.02,0.0001,100,sol_243a5ac865c3f6a0,ev_6bf2527cffeb,hm_979a58ab8892,0.5670003294944763,False
0.05,0.0005,10,sol_dd02ada06a2ad6a5,ev_6c56ee73f07c,hm_af8fc4d5852f,0.5670102834701538,False
0.01,0.0001,100,sol_0d90478434a61295,ev_6c6ea3d15d97,hm_844cdcf42c7e,0.599958598613739,False
0.02,0.0005,700,sol_78475e792ea87b14,ev_6c814327133c,hm_f442e5139114,12.140253067016602,False
0.0,0.0003,700,sol_d12ce54e52a0e31d,ev_6c91f7e8006c,hm_a0f8ed47a107,0.6288909316062927,False
0.0,0.0003,400,sol_ffda5edddeb8d0c9,ev_6cc024e88fd4,hm_a0f8ed47a107,0.5669740438461304,False
0.05,0.0001,700,sol_f65dc7a253c4d259,ev_6cc4217a9232,hm_9108b6e19b67,1810.96484375,True
0.02,0.0001,20,sol_228bc3ad484a5e63,ev_6cca99b11f92,hm_979a58ab8892,0.4545454680919647,False
0.0,0.0005,10,sol_97a4a48afeb1f69a,ev_6cec33204a7e,hm_7a9cff01f511,0.4545454680919647,False
0.05,0.0001,20,sol_e196c79bed361b19,ev_6ceeb609485a,hm_9108b6e19b67,0.4545454680919647,False
0.0,0.0003,50,sol_52c1750f5a80c8fa,ev_6cfa66f06796,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.0001,200,sol_ca373c8649dc6400,ev_6d1bffe771ef,hm_844cdcf42c7e,0.6290808320045471,False
0.05,0.0001,50,sol_c44d9ba5ddd37d70,ev_6d4c1adccd5d,hm_9108b6e19b67,0.9519749879837036,False
0.02,0.0003,10,sol_e4934a6d0c69f891,ev_6d6a0e4ca2fb,hm_1602ff939866,0.4545454680919647,False
0.0,0.0005,700,sol_0407d9111b5da323,ev_6d7113023230,hm_7a9cff01f511,0.8487009406089783,False
0.02,0.0005,400,sol_8980e4d03eceb32c,ev_6d7234bd8081,hm_f442e5139114,1.4993245601654053,False
0.0,0.0005,400,sol_6f0c03b8f3a1eee7,ev_6d7e4ec2c962,hm_7a9cff01f511,0.9820197224617004,False
0.01,0.0001,400,sol_8892c801c03f6c87,ev_6d8b88532ec8,hm_844cdcf42c7e,1.1077592372894287,False
