phi_max,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.01,0.0003,50,sol_b8785098761c8bb9,ev_070df8258afe,hm_a0f8ed47a107,0.7349004745483398,False
0.02,0.0001,1000,sol_3081d8c0830b7b31,ev_0730eb9c8428,hm_a00ad2a2c52a,93.36978912353516,True
0.01,0.0001,10,sol_42ca88988fc04209,ev_07b857068afd,hm_a00ad2a2c52a,0.4545454680919647,False
0.2,0.0001,200,sol_362dcbbaf74f79ee,ev_080892fe92b2,hm_a00ad2a2c52a,0.4545454680919647,False
0.2,0.0003,700,sol_83b678406883e97f,ev_080aeb06ee6d,hm_a0f8ed47a107,0.5998616814613342,False
0.02,0.0001,50,sol_6521f4107f350af5,ev_0856a995e755,hm_a00ad2a2c52a,0.566975474357605,False
0.05,0.0001,10,sol_af3530f17d8d5987,ev_086ece432ea7,hm_a00ad2a2c52a,0.4545454680919647,False
0.2,0.0001,1000,sol_f5b49a79d6ce16e5,ev_0885f3b6c96b,hm_a00ad2a2c52a,0.5996344685554504,False
0.1,0.0003,700,sol_79ad7e918304e9ba,ev_0886f8abc417,hm_a0f8ed47a107,1.3917593955993652,False
0.1,0.0003,10,sol_7b4f1565ed6ddfee,ev_08bfbba62628,hm_a0f8ed47a107,0.4545454680919647,False
0.2,0.0001,1000,sol_4e5eef9615bb2ebc,ev_08df0ece1b00,hm_a00ad2a2c52a,0.5641889572143555,False
0.01,0.0003,20,sol_7b54104c2f84ba5f,ev_091c31db1262,hm_a0f8ed47a107,0.4545454680919647,False
0.1,0.0003,50,sol_48bbfea19dd95102,ev_09e976e9c047,hm_a0f8ed47a107,0.4545454680919647,False
0.02,0.0001,700,sol_70d0c17fedc960a6,ev_09f1483b373b,hm_a00ad2a2c52a,1.8086274862289429,False
0.01,0.0003,20,sol_acdd21fd08271286,ev_09fb5fda88ba,hm_a0f8ed47a107,0.6983240246772766,False
0.02,0.0003,10,sol_785a48a8d7907a6e,ev_0a3dd225be0d,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.0001,50,sol_12a38015a2bbd59f,ev_0a94b4da5c7f,hm_a00ad2a2c52a,1.2582086324691772,False
0.05,0.0001,20,sol_52e8824eadf07419,ev_0ab8bc38159c,hm_a00ad2a2c52a,0.4545454680919647,False
0.2,0.0001,50,sol_f8d72bb94ec48bcb,ev_0ad1113fd0dc,hm_a00ad2a2c52a,0.4545454680919647,False
0.2,0.0003,400,sol_a3a207d1a89580c9,ev_0ae09f7dc889,hm_a0f8ed47a107,0.5669482350349426,False
0.02,0.0001,200,sol_ce0570f10cc32097,ev_0b6232347503,hm_a00ad2a2c52a,0.5998318791389465,False
0.01,0.0001,1000,sol_2ef8a26f051ea6f6,ev_0b64937c5591,hm_a00ad2a2c52a,255.78684997558594,True
0.01,0.0001,400,sol_8f2180438138c035,ev_0b6b5b3e8ac9,hm_a00ad2a2c52a,2.3569939136505127,False
0.1,0.0001,700,sol_b8b6ea0f10278321,ev_0ba079ea43da,hm_a00ad2a2c52a,0.5995773077011108,False
0.05,0.0003,400,sol_5edf51d86408fe66,ev_0babfaf71add,hm_a0f8ed47a107,1.1417760848999023,False
0.2,0.0001,200,sol_0eeb4d67cccd8b30,ev_0bcfa4a4dbcb,hm_a00ad2a2c52a,0.4545454680919647,False
0.02,0.0001,200,sol_c19c485a516160af,ev_0bf08ff92331,hm_a00ad2a2c52a,0.5998257994651794,False
0.1,0.0003,100,sol_a6f0ad4288dd8420,ev_0c013f3db50c,hm_a0f8ed47a107,0.5670021176338196,False
0.01,0.0003,100,sol_251bf0159db10a57,ev_0c932aba976e,hm_a0f8ed47a107,12.821553230285645,False
0.02,0.0003,1000,sol_23b627cb114a826c,ev_0cea84192293,hm_a0f8ed47a107,2146.919677734375,True
0.02,0.0003,700,sol_56ca29c54847b6e8,ev_0d0da2b14fb5,hm_a0f8ed47a107,307.14306640625,True
0.1,0.0003,200,sol_06b794b1c354fdc8,ev_0d1ab0af0f36,hm_a0f8ed47a107,0.4545454680919647,False
0.2,0.0001,10,sol_8a2e70e53f2d1c15,ev_0d43f5c1a616,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0003,1000,sol_c3f33c7a7ad31c61,ev_0dde5c200e0d,hm_a0f8ed47a107,594.9826049804688,True
0.2,0.0003,10,sol_814ccdb9b7ca4850,ev_0e344364cf1f,hm_a0f8ed47a107,0.4545454680919647,False
0.02,0.0001,50,sol_c7d4f02ff811e4ea,ev_0e3b987ed492,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0001,100,sol_68b329f07eccf3c6,ev_0e3fddc652d5,hm_a00ad2a2c52a,0.5669947266578674,False
0.2,0.0001,400,sol_45f3b60eaf00273e,ev_0e58a4082f8f,hm_a00ad2a2c52a,0.7306539416313171,False
0.01,0.0003,1000,sol_0e85932adad5d7dc,ev_0eb6d32b3d74,hm_a0f8ed47a107,474.5996398925781,True
0.01,0.0001,1000,sol_1567855ae5b8cfba,ev_0ebd23c1b9e6,hm_a00ad2a2c52a,61.180545806884766,True
0.1,0.0003,400,sol_75391b8b4cb76dd5,ev_0f315d8b8ba5,hm_a0f8ed47a107,0.6290003061294556,False
0.05,0.0001,700,sol_d0a64ea7b8aa15cf,ev_0f3fc5372027,hm_a00ad2a2c52a,1.4999922513961792,False
0.2,0.0003,50,sol_c061f8b3f9bacec4,ev_0f9c53320889,hm_a0f8ed47a107,0.5670134425163269,False
0.01,0.0001,1000,sol_296ce1f6aa9108bb,ev_0faeebfbef45,hm_a00ad2a2c52a,390.9750671386719,True
0.05,0.0003,100,sol_2596a111384c7a1d,ev_100fb3bb3c0b,hm_a0f8ed47a107,1.0935554504394531,False
