hit_ineff,sigma_scatt,n_trk,sol_key,event_key,ham_key,max_abs_x,excluded
0.01,0.0007,10,sol_3713f65edaf055b6,ev_e48ab8029a7e,hm_b46918a75620,0.4545454680919647,False
0.05,0.0001,100,sol_7a492a9375784fc3,ev_e48e09ca633e,hm_a00ad2a2c52a,0.4545454680919647,False
0.01,0.0001,200,sol_8bced5ecec5ff5e9,ev_e4ac90d73224,hm_a00ad2a2c52a,0.4545435309410095,False
0.02,0.0007,100,sol_df8635e71f0fd5fd,ev_e4b96cd8ca1a,hm_b46918a75620,0.6000038981437683,False
0.02,0.0001,700,sol_526af6faa7e80c6e,ev_e4cd8ce1d0b4,hm_a00ad2a2c52a,0.4545423984527588,False
0.1,0.0005,700,sol_89ff3517823e7121,ev_e4d8321565e8,hm_7a9cff01f511,1.4999479055404663,False
0.1,0.0005,1000,sol_1f05977c63c83676,ev_e4ea61caf5f9,hm_7a9cff01f511,1.2205891609191895,False
0.1,0.0003,700,sol_75dbcbd6c51183be,ev_e54e0c1f26b9,hm_a0f8ed47a107,1.3848683834075928,False
0.0,0.0007,100,sol_d6a2d0ddd3bf41bf,ev_e54f6d2f5850,hm_b46918a75620,1.2212103605270386,False
0.05,0.0007,200,sol_67ab859fa5af42e1,ev_e561b40e9484,hm_b46918a75620,0.7608523368835449,False
0.1,0.0005,700,sol_9c6df0a8aef1dddc,ev_e56866e32de2,hm_7a9cff01f511,1.3971611261367798,False
0.05,0.0007,20,sol_d3b241cc7d3198ea,ev_e56dccd8e686,hm_b46918a75620,0.4545454680919647,False
0.05,0.0001,1000,sol_96bb7c73021f88f9,ev_e5a7aaca7337,hm_a00ad2a2c52a,0.6416754722595215,False
0.1,0.0005,50,sol_7949645893f94ffe,ev_e5b1510c08bd,hm_7a9cff01f511,0.4545454680919647,False
0.02,0.0005,200,sol_17e1d08c5e7e82ef,ev_e5c1c323bb5f,hm_7a9cff01f511,0.6290082335472107,False
0.05,0.0003,700,sol_6bed0e1b4726b5b7,ev_e5c2bb5a6cba,hm_a0f8ed47a107,1.3078792095184326,False
0.01,0.001,1000,sol_90477e9dbe17aee7,ev_e5d96f0e91d1,hm_8de6b26636d5,3.834523916244507,False
0.05,0.001,700,sol_26497320ed7b2288,ev_e5f66983cf05,hm_8de6b26636d5,1.2779279947280884,False
0.02,0.0007,1000,sol_10d73037a37f3a0b,ev_e5f7cec6af27,hm_b46918a75620,1.1921730041503906,False
0.02,0.0003,1000,sol_36722a3b1fa743d5,ev_e60febdeadf6,hm_a0f8ed47a107,0.7938412427902222,False
0.02,0.0007,200,sol_78aea4ac6512a12a,ev_e610c4a35ccc,hm_b46918a75620,0.5999442338943481,False
0.0,0.0007,50,sol_abacef5d3b17cff9,ev_e61cdb591c5c,hm_b46918a75620,0.5669804215431213,False
0.02,0.0003,200,sol_00d97cbc48e81087,ev_e67c60d2dfa2,hm_a0f8ed47a107,0.9669650197029114,False
0.0,0.0007,200,sol_a41c699bb2ed6208,ev_e6a04de4153f,hm_b46918a75620,0.5999154448509216,False
0.02,0.0007,400,sol_2a8672812e902258,ev_e6b2f6f9a6c3,hm_b46918a75620,0.5997424125671387,False
0.01,0.0003,700,sol_42140b6cbe33aef8,ev_e6b7aadfbb47,hm_a0f8ed47a107,0.6844863295555115,False
0.05,0.001,400,sol_2e4c01f55d6389a8,ev_e6ce55922288,hm_8de6b26636d5,1.1921957731246948,False
0.02,0.0005,200,sol_c59977cfb62f1869,ev_e6e3203d5b0a,hm_7a9cff01f511,0.4545454680919647,False
0.05,0.0001,20,sol_d616a5462df20d06,ev_e6f6a50e209c,hm_a00ad2a2c52a,0.4545454680919647,False
0.0,0.0007,10,sol_1c9fd67268b88d4c,ev_e6f78ff429ef,hm_b46918a75620,0.4545454680919647,False
0.0,0.0005,200,sol_1226b4f10ee4c48b,ev_e6f855b56819,hm_7a9cff01f511,0.5669615268707275,False
0.01,0.0001,200,sol_91f8cc54140a0104,ev_e6fce187cf8b,hm_a00ad2a2c52a,0.4545443654060364,False
0.0,0.0005,700,sol_13532e55501acbca,ev_e70389340ca1,hm_7a9cff01f511,0.7339133024215698,False
0.1,0.001,1000,sol_2fd5a16e19f7fce8,ev_e70e42d0a9cc,hm_8de6b26636d5,2.356804609298706,False
0.02,0.0007,1000,sol_4e049194a8a85205,ev_e731abbc5d87,hm_b46918a75620,1.2572792768478394,False
0.01,0.0005,10,sol_8d1971446d60430f,ev_e73823aac572,hm_7a9cff01f511,0.4545454680919647,False
0.01,0.0003,700,sol_ac94f9f3a91214ea,ev_e73ebed0059e,hm_a0f8ed47a107,1.1533862352371216,False
0.0,0.0003,20,sol_7bb03202d8686086,ev_e765dcf13501,hm_a0f8ed47a107,0.4545454680919647,False
0.02,0.0007,1000,sol_a24b6a4e1210e018,ev_e76ac67ac303,hm_b46918a75620,2.3571152687072754,False
0.02,0.0001,400,sol_dcf7be597f5b7bdc,ev_e77d683690bd,hm_a00ad2a2c52a,0.4545433819293976,False
0.1,0.001,10,sol_cbe3f85c2cb342c8,ev_e7af5acc728f,hm_8de6b26636d5,0.4545454680919647,False
0.01,0.0007,700,sol_f742fc659f9680a6,ev_e7d2d7b1eabb,hm_b46918a75620,1.662938117980957,False
0.02,0.001,400,sol_cab1800931a0948d,ev_e7f45545554f,hm_8de6b26636d5,1.1922825574874878,False
0.02,0.0003,100,sol_231f5f723ef9504b,ev_e7fa1868cb15,hm_a0f8ed47a107,0.4545454680919647,False
0.02,0.0001,50,sol_3df61db50d870fe7,ev_e8019e3945a9,hm_a00ad2a2c52a,0.4545454680919647,False
0.05,0.0003,20,sol_e6f49c5f3041ad54,ev_e805820813e9,hm_a0f8ed47a107,0.4545454680919647,False
0.05,0.0003,20,sol_e31ba8c66213ca6a,ev_e808232b622d,hm_a0f8ed47a107,0.4545454680919647,False
0.0,0.0001,50,sol_1b91a9de297972c0,ev_e816354ac9c3,hm_a00ad2a2c52a,0.4545454680919647,False
0.1,0.0003,400,sol_f64e9026a03f32d6,ev_e8190bea348e,hm_a0f8ed47a107,1.0317742824554443,False
0.01,0.0005,700,sol_39ff69eda7e09266,ev_e82ba1cd1a43,hm_7a9cff01f511,0.9590426087379456,False
0.05,0.0005,700,sol_4b5504d420ed13a6,ev_e83f807ee437,hm_7a9cff01f511,1.008042335510254,False
0.0,0.001,100,sol_4bd36baf1d19e354,ev_e84274100af8,hm_8de6b26636d5,0.5669742822647095,False
0.0,0.0005,700,sol_1b74f999848ddfee,ev_e864db6e0eca,hm_7a9cff01f511,0.7285503149032593,False
0.05,0.0003,100,sol_8c3ece0bf1fd106a,ev_e872637f0fa6,hm_a0f8ed47a107,0.4545454680919647,False
0.0,0.0001,50,sol_3d0676469cf13d53,ev_e87a2d28194e,hm_a00ad2a2c52a,0.4545454680919647,False
0.0,0.0003,20,sol_ade0f1f5660bc682,ev_e8a7abc11582,hm_a0f8ed47a107,0.4545454680919647,False
0.01,0.0003,1000,sol_95f1f77b3d59aaa9,ev_e8a9b369768f,hm_a0f8ed47a107,0.7274895310401917,False
