T,rep,n_bins,eff,ghost,n_cand,t_ms
200,5,128,0.765,0.0377358490566037,159,35.073280334472656
200,5,256,0.93,0.0210526315789473,190,47.33872413635254
200,5,512,0.965,0.0102564102564102,195,70.76287269592285
200,5,1024,0.71,0.0,142,147.06802368164062
200,5,2048,0.185,0.0512820512820512,39,406.9147109985352
200,6,64,0.545,0.018018018018018,111,22.76039123535156
200,6,128,0.825,0.0119760479041916,167,33.49947929382324
200,6,256,0.945,0.0104712041884816,191,40.795087814331055
200,6,512,0.985,0.005050505050505,198,61.93661689758301
200,6,1024,0.955,0.0,191,139.03474807739258
200,6,2048,0.78,0.0,156,404.0360450744629
200,7,64,0.54,0.0181818181818181,110,22.290468215942383
200,7,128,0.835,0.0118343195266272,169,49.30257797241211
200,7,256,0.96,0.005181347150259,193,46.80609703063965
200,7,512,0.985,0.0,197,61.36512756347656
200,7,1024,0.985,0.0,197,193.3467388153076
200,7,2048,0.955,0.0,191,395.53236961364746
200,8,64,0.545,0.018018018018018,111,21.765947341918945
200,8,128,0.8,0.0123456790123456,162,31.190156936645508
200,8,256,0.91,0.0054644808743169,183,37.778615951538086
200,8,512,0.985,0.0,197,58.39157104492188
200,8,1024,0.965,0.0,193,130.8577060699463
200,8,2048,0.96,0.0,192,377.6781558990479
200,9,64,0.475,0.0952380952380952,105,20.68972587585449
200,9,128,0.86,0.0282485875706214,177,33.71381759643555
200,9,256,0.95,0.0052356020942408,191,43.0755615234375
200,9,512,0.955,0.0052083333333333,192,64.30721282958984
200,9,1024,0.475,0.0,95,132.71641731262207
200,9,2048,0.12,0.0,24,380.333423614502
400,0,64,0.2875,0.0336134453781512,119,24.89328384399414
400,0,128,0.675,0.0492957746478873,284,57.497501373291016
400,0,256,0.88,0.0249307479224376,361,75.44851303100586
400,0,512,0.9675,0.0025773195876288,388,102.2806167602539
400,0,1024,0.9375,0.0053050397877984,377,179.11434173583984
400,0,2048,0.8225,0.0060422960725075,331,469.0518379211426
400,1,64,0.225,0.1346153846153846,104,22.05133438110352
400,1,128,0.6,0.0661478599221789,257,50.64249038696289
400,1,256,0.8575,0.0418994413407821,358,72.65186309814453
400,1,512,0.945,0.0181818181818181,385,103.8992404937744
400,1,1024,0.94,0.0052910052910052,378,178.14397811889648
400,1,2048,0.455,0.0,182,431.17809295654297
400,2,64,0.275,0.0677966101694915,118,25.485515594482425
400,2,128,0.6375,0.0449438202247191,267,54.070234298706055
400,2,256,0.885,0.0327868852459016,366,76.36404037475586
400,2,512,0.965,0.0051546391752577,388,102.97799110412598
400,2,1024,0.9625,0.0025906735751295,386,172.99389839172363
400,2,2048,0.5725,0.0171673819742489,233,446.0358619689941
400,3,64,0.2275,0.1875,112,23.61273765563965
400,3,128,0.605,0.1037037037037037,270,52.14095115661621
400,3,256,0.855,0.042016806722689,357,73.44412803649902
400,3,512,0.925,0.0159574468085106,376,102.42009162902832
400,3,1024,0.8175,0.0030487804878048,328,177.3993968963623
400,3,2048,0.2675,0.0272727272727272,110,439.9523735046387
400,4,64,0.3125,0.053030303030303,132,27.599334716796875
400,4,128,0.7075,0.0241379310344827,290,56.60200119018555
400,4,256,0.895,0.011049723756906,362,72.79181480407715
400,4,512,0.9725,0.0051150895140664,391,94.92993354797365
400,4,1024,0.97,0.0051282051282051,390,165.21310806274414
400,4,2048,0.935,0.0,374,423.9058494567871
400,5,64,0.2775,0.0512820512820512,117,23.747682571411133
400,5,128,0.69,0.031578947368421,285,53.79939079284668
400,5,256,0.88,0.0167597765363128,358,70.62697410583496
400,5,512,0.955,0.0077922077922077,385,93.55425834655762
400,5,1024,0.9725,0.0025641025641025,390,168.02191734313965
400,5,2048,0.945,0.0052631578947368,380,417.797327041626
400,6,64,0.255,0.135593220338983,118,24.025440216064453
400,6,128,0.6525,0.0809859154929577,284,53.41482162475586
400,6,256,0.8825,0.0381471389645776,367,75.75178146362305
400,6,512,0.9225,0.0053908355795148,371,103.19137573242188
400,6,1024,0.73,0.0068027210884353,294,176.79619789123535
400,6,2048,0.2175,0.0113636363636363,88,421.783447265625
400,7,64,0.275,0.0833333333333333,120,24.34539794921875
400,7,128,0.7125,0.0069686411149825,287,58.25304985046387
400,7,256,0.9075,0.0081967213114754,366,80.02591133117676
400,7,512,0.9775,0.0025510204081632,392,104.54106330871582
400,7,1024,1.0,0.0,400,179.91399765014648
400,7,2048,0.975,0.0,390,447.2157955169678
400,8,64,0.2575,0.0636363636363636,110,25.577545166015625
400,8,128,0.7425,0.0033557046979865,298,66.36571884155273
400,8,256,0.94,0.0026525198938992,377,82.40008354187012
400,8,512,0.975,0.0076335877862595,393,103.70278358459473
400,8,1024,0.9925,0.0025125628140703,398,176.7745018005371
400,8,2048,0.9575,0.0,383,519.9611186981201
400,9,64,0.265,0.0185185185185185,108,22.65477180480957
400,9,128,0.725,0.0136054421768707,294,57.81269073486328
400,9,256,0.9475,0.0,379,77.21924781799316
400,9,512,0.9875,0.0,395,98.9832878112793
400,9,1024,0.9975,0.0,399,164.7963523864746
400,9,2048,0.9975,0.0,399,423.0217933654785
700,0,64,0.1542857142857142,0.0924369747899159,119,26.782989501953125
700,0,128,0.5457142857142857,0.0179948586118251,389,78.42326164245605
700,0,256,0.8242857142857143,0.0220338983050847,590,119.81916427612305
700,0,512,0.9242857142857144,0.0182094081942336,659,154.04486656188965
700,0,1024,0.9814285714285714,0.0043478260869565,690,237.3647689819336
700,0,2048,0.9514285714285714,0.0,666,517.1582698822021
700,1,64,0.1114285714285714,0.2909090909090909,110,26.58009529113769
700,1,128,0.4371428571428571,0.15,360,77.35157012939453
700,1,256,0.7528571428571429,0.0834782608695652,575,129.44316864013672
700,1,512,0.8942857142857142,0.0339506172839506,648,166.95737838745117
700,1,1024,0.7057142857142857,0.0407766990291262,515,250.6177425384521
700,1,2048,0.1814285714285714,0.0378787878787878,132,506.3385963439941
700,2,64,0.1542857142857142,0.1,120,26.93796157836914
700,2,128,0.5142857142857142,0.0625,384,76.24340057373047
700,2,256,0.8357142857142857,0.0330578512396694,605,119.50087547302246
700,2,512,0.9514285714285714,0.014792899408284,676,158.37931632995603
700,2,1024,0.9457142857142856,0.0015082956259426,663,240.20767211914065
700,2,2048,0.7814285714285715,0.0090579710144927,552,505.7473182678223
700,3,64,0.1371428571428571,0.1652173913043478,115,25.99477767944336
700,3,128,0.5057142857142857,0.0634920634920634,378,77.0106315612793
700,3,256,0.8085714285714286,0.0406779661016949,590,121.38748168945312
700,3,512,0.9328571428571428,0.0209895052473763,667,189.28146362304688
700,3,1024,0.9371428571428572,0.0045523520485584,659,245.29480934143064
700,3,2048,0.7971428571428572,0.0035714285714285,560,493.08133125305176
700,4,64,0.1342857142857142,0.1376146788990825,109,24.56283569335937
700,4,128,0.5085714285714286,0.0606860158311345,379,75.00886917114258
700,4,256,0.8028571428571428,0.0327022375215146,581,115.71812629699708
