regime,phi_max,n_tracks,repeat,epsilon,n_true,n_false,true_accepted,false_accepted,seg_efficiency,seg_false_rate
dense,0.02,25,3,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,4,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,5,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,6,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,7,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,8,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,9,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,10,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,11,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,12,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,13,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,14,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,15,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,16,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,17,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,18,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,25,19,2.121324586196087e-05,75,46800,75,0,1.0,0.0
dense,0.02,30,0,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,1,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,2,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,3,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,4,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,5,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,6,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,7,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,8,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,9,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,10,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,11,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,12,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,13,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,14,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,15,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,16,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,17,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,18,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,30,19,2.121324586196087e-05,90,80910,90,0,1.0,0.0
dense,0.02,35,0,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,1,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,2,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,3,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,4,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,5,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,6,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,7,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,8,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,9,2.121324586196087e-05,105,128520,105,0,1.0,0.0
dense,0.02,35,10,2.121324586196087e-05,105,128520,105,0,1.0,0.0
