solver,sigma_scatt,hit_ineff,n_trk,n_rep,n_valid,excluded_frac,eff,eff_sem,far,far_sem,pur,pur_sem,eff_wp,eff_wp_sem,far_wp,far_wp_sem,cos_QC
classical,0.0003,0.02,1000,20,20,0.0,97.09511015604616,0.07988943404498958,4.838927504601542,0.2427957642640606,95.16107249539846,0.24279576426406005,99.67926229483538,0.09118785827119391,86.17658587498997,3.856106114415803,
classical,0.0003,0.05,10,20,20,0.0,92.46263997753937,1.2088763709962436,0.0,0.0,100.0,0.0,100.0,0.0,45.01168208366278,10.326389841243945,
classical,0.0003,0.05,20,20,20,0.0,91.53868473153008,1.1851658496008035,0.0,0.0,100.0,0.0,100.0,0.0,71.2389433546115,9.435832512599896,
classical,0.0003,0.05,50,20,20,0.0,92.35940891405242,0.8936384157766581,0.0,0.0,100.0,0.0,99.94722918407129,0.036319506860642815,83.29949964815978,8.027896467376877,
classical,0.0003,0.05,100,20,20,0.0,92.67930494667829,0.3854255549201057,0.10638297872340399,0.07404326768784336,99.8936170212766,0.07404326768784394,100.0,0.0,99.00068686763936,0.0004294272073772231,
classical,0.0003,0.05,200,20,20,0.0,93.05391288732153,0.2893779885075502,0.2862870701128025,0.09840257003391971,99.71371292988718,0.09840257003392032,100.0,0.0,99.49944557908476,0.00017367456795061543,
classical,0.0003,0.05,400,20,20,0.0,92.47680274762385,0.19635898278358224,0.6643771094950055,0.0894700903561724,99.335622890505,0.08947009035617275,100.0,0.0,99.75005316281616,7.92066025231036e-05,
classical,0.0003,0.05,700,20,20,0.0,92.50469324623458,0.14849202883899704,2.1013330799910404,0.2072299777919381,97.89866692000894,0.20722997779193775,100.0,0.0,99.85715729061954,3.114986128936427e-05,
classical,0.0003,0.05,1000,20,20,0.0,92.70405745977978,0.12691821185830823,4.678008511070698,0.27313021358515704,95.32199148892931,0.2731302135851567,100.0,0.0,99.90000426856683,1.740715903947163e-05,
classical,0.0003,0.1,10,20,20,0.0,83.48454774931704,2.1135483626583405,0.0,0.0,100.0,0.0,100.0,0.0,76.5464618099428,7.3771460894397665,
classical,0.0003,0.1,20,20,20,0.0,83.19836041102525,1.535090926488411,0.0,0.0,100.0,0.0,100.0,0.0,94.99433480263238,0.01576068095538938,
classical,0.0003,0.1,50,20,20,0.0,84.1955026787784,0.7964479386513211,0.17751479289940802,0.17751479289940802,99.82248520710058,0.17751479289940805,100.0,0.0,98.00413786999027,0.00395078903608891,
classical,0.0003,0.1,100,20,20,0.0,85.62518663330437,0.7143126499373643,0.0660151168166515,0.051578746259319505,99.93398488318334,0.05157874625931977,100.0,0.0,98.99912385194686,0.0013145019579764608,
classical,0.0003,0.1,200,20,20,0.0,84.9622478046571,0.5088883044813267,0.30391846519630594,0.07806770910656312,99.69608153480368,0.07806770910656406,100.0,0.0,99.4998129563903,0.0004488315111711132,
classical,0.0003,0.1,400,20,20,0.0,85.3625772685073,0.28020393096143514,0.5873305050944471,0.12389395431756038,99.41266949490554,0.12389395431756123,100.0,0.0,99.75001213855201,0.00012831034133908387,
classical,0.0003,0.1,700,20,20,0.0,85.17048251808038,0.18173311698485353,2.1470355306994646,0.20620219817482807,97.85296446930053,0.20620219817482777,100.0,0.0,99.8571580513728,6.206789038701827e-05,
