event,n_hits,n_seg,n_true,n_active,eff,n_iso,fp_iso,far_iso,n_pair,fp_pair,far_pair,n_chain,fp_chain,far_chain,n_hub,fp_hub,far_hub,far,pur
velo_event_216.json,1038,21265,741,649,0.8515519568151148,20489,0,0.0,17,0,0.0,10,10,0.015408320493066256,8,8,0.012326656394453005,0.02773497688751926,0.9722650231124808
velo_event_217.json,1753,60554,1282,1175,0.8829953198127926,59107,0,0.0,122,0,0.0,12,12,0.010212765957446808,31,31,0.026382978723404255,0.03659574468085106,0.963404255319149
velo_event_218.json,2232,95121,1656,1523,0.8786231884057971,93173,0,0.0,224,0,0.0,33,33,0.021667760998030205,35,35,0.02298095863427446,0.04464871963230466,0.9553512803676953
velo_event_219.json,2357,103004,1637,1527,0.868662186927306,100893,0,0.0,369,0,0.0,56,56,0.0366732154551408,49,49,0.032089063523248196,0.068762278978389,0.931237721021611
velo_event_22.json,2851,157874,2024,1801,0.8458498023715415,155163,0,0.0,598,0,0.0,56,56,0.031093836757357024,33,33,0.018323153803442533,0.049416990560799554,0.9505830094392005
velo_event_220.json,3019,173091,2133,1958,0.8762306610407876,170332,0,0.0,537,0,0.0,59,59,0.03013278855975485,30,30,0.015321756894790603,0.045454545454545456,0.9545454545454546
velo_event_221.json,1342,37941,971,903,0.8671472708547889,36781,0,0.0,128,0,0.0,18,18,0.019933554817275746,43,43,0.047619047619047616,0.06755260243632337,0.9324473975636767
velo_event_222.json,1599,57069,1204,1078,0.8679401993355482,55739,0,0.0,93,0,0.0,17,17,0.015769944341372914,16,16,0.014842300556586271,0.030612244897959183,0.9693877551020408
velo_event_223.json,1005,21817,774,721,0.9082687338501292,20977,0,0.0,48,0,0.0,12,12,0.016643550624133148,6,6,0.008321775312066574,0.024965325936199722,0.9750346740638003
velo_event_224.json,702,11377,534,481,0.8782771535580525,10813,0,0.0,18,0,0.0,3,3,0.006237006237006237,9,9,0.018711018711018712,0.02494802494802495,0.975051975051975
velo_event_225.json,727,10444,506,445,0.8517786561264822,9900,0,0.0,24,0,0.0,9,9,0.020224719101123594,5,5,0.011235955056179775,0.03146067415730337,0.9685393258426966
velo_event_226.json,3274,200514,2342,2155,0.8539709649871904,197135,0,0.0,882,0,0.0,92,92,0.04269141531322506,63,63,0.02923433874709977,0.07192575406032482,0.9280742459396751
velo_event_227.json,4029,305385,2980,2828,0.8885906040268456,301095,0,0.0,1130,0,0.0,109,109,0.03854314002828854,71,71,0.025106082036775106,0.06364922206506365,0.9363507779349364
velo_event_228.json,5830,634647,4057,4256,0.8535863938871087,624912,0,0.0,4885,0,0.0,621,621,0.14591165413533835,172,172,0.040413533834586464,0.1863251879699248,0.8136748120300752
velo_event_229.json,1565,47236,1128,1026,0.87322695035461,45982,0,0.0,85,0,0.0,18,18,0.017543859649122806,23,23,0.022417153996101363,0.03996101364522417,0.9600389863547758
velo_event_23.json,1141,25235,799,702,0.867334167709637,24399,0,0.0,28,0,0.0,9,9,0.01282051282051282,0,0,0.0,0.01282051282051282,0.9871794871794872
velo_event_230.json,3352,211949,2382,2212,0.8753148614609572,208622,0,0.0,818,0,0.0,73,73,0.03300180831826401,54,54,0.024412296564195298,0.057414104882459314,0.9425858951175407
velo_event_231.json,2119,84769,1533,1371,0.8571428571428571,82878,0,0.0,301,0,0.0,35,35,0.025528811086797956,22,22,0.016046681254558718,0.04157549234135667,0.9584245076586433
velo_event_232.json,2770,143308,2034,1842,0.8618485742379548,140637,0,0.0,548,0,0.0,45,45,0.024429967426710098,44,44,0.023887079261672096,0.048317046688382194,0.9516829533116178
velo_event_233.json,1865,68488,1337,1238,0.8945400149588631,66894,0,0.0,215,0,0.0,28,28,0.022617124394184167,14,14,0.011308562197092083,0.033925686591276254,0.9660743134087237
