noise,T,n_seg,beta,alpha,epsilon,A0_nnz,Bfork_nnz,Ball_nnz,A_nnz,lam_min,lam_max,width,s_prime_g3,gamma_pd,gamma_win,gamma_star,ok_at_g3,f_lo_g3,f_hi_g3,f_lo_star,f_hi_star,contrast_g3,contrast_star,t_wall
moderate,200,157012,4.0,0.0,0.0031777035588293387,158542,4096,0,162638,-4.000000000000001,12.326085084613212,16.32608508461321,4.0,7.000000000000001,7.3260850846132115,7.3260850846132115,False,3.8285686989269494e-16,0.1277036378415285,0.9981082969496524,1.0,-0.1277036378415281,-0.0018917030503475818,0.865497350692749
moderate,200,157012,0.0,0.03,0.0031777035588293387,158542,0,61902130,62060672,2.017255404374397,27.82166179875941,25.804406394385015,4.12,0.9827445956256029,22.581661798759413,22.581661798759413,False,0.7185359924013792,0.37857191764313164,0.13890600107141535,1.0,0.3399640747582476,-0.8610939989285846,36.83968472480774
moderate,200,157012,0.0,0.1,0.0031777035588293387,158542,0,61902130,62060672,2.0191689460469155,83.40049620221652,81.3813272561696,4.4,0.9808310539530845,77.60049620221652,77.60049620221652,False,0.7512505062732336,0.07116248964583735,0.04732127277265892,1.0,0.6800880166273963,-0.952678727227341,41.50592494010925
moderate,200,157012,0.0,0.3,0.0031777035588293387,158542,0,61902130,62060672,2.0197953803336977,242.20016533164596,240.18036995131226,5.2,0.9802046196663023,234.80016533164596,234.80016533164596,False,0.8195723079831788,0.616679557745265,0.02107628846214663,1.0,0.20289275023791387,-0.9789237115378534,44.99135684967041
moderate,200,157012,0.0,1.0,0.0031777035588293387,158542,0,61902130,62060672,2.0200243181692836,798.000049597134,795.9800252789647,8.0,0.9799756818307164,785.000049597134,785.000049597134,False,0.9223677737861923,0.9238832591820535,0.01189000241901754,1.0,-0.0015154853958612158,-0.9881099975809825,52.890161991119385
moderate,200,157012,1.0,0.3,0.0031777035588293387,158542,4096,61902130,62060672,2.000000000000004,242.21575397190108,240.21575397190108,5.2,0.999999999999996,234.81575397190107,234.81575397190107,False,0.8229838658936558,0.612965775678154,0.021206064896813346,1.0,0.21001809021550177,-0.9787939351031867,48.94058585166931
heavy,50,9950,0.0,0.0,0.006312668537322595,10278,0,0,10278,2.1522409349774243,5.847759065022574,3.6955181300451496,4.0,0.8477590650225757,0.8477590650225739,0.8477590650225757,True,0.6635943636641825,0.6635943636641818,0.6635943636641825,0.6635943636641818,6.661338147750939e-16,6.661338147750939e-16,0.06139707565307617
heavy,50,9950,0.5,0.0,0.006312668537322595,10278,24,0,10302,2.1522409349774256,5.847759065022572,3.6955181300451465,4.0,0.8477590650225744,0.8477590650225721,0.8477590650225744,True,0.6635943636641821,0.6635943636641815,0.6635943636641821,0.6635943636641815,6.661338147750939e-16,6.661338147750939e-16,0.049727439880371094
heavy,50,9950,1.0,0.0,0.006312668537322595,10278,24,0,10302,2.152240934977427,5.847759065022573,3.695518130045146,4.0,0.847759065022573,0.847759065022573,0.847759065022573,True,0.6635943636641818,0.6635943636641815,0.6635943636641818,0.6635943636641815,3.3306690738754696e-16,3.3306690738754696e-16,0.049756765365600586
heavy,50,9950,2.0,0.0,0.006312668537322595,10278,24,0,10302,2.000000000000001,6.000000000000003,4.000000000000002,4.0,0.9999999999999991,1.0000000000000027,1.0000000000000027,True,0.7071067811865474,0.7071067811865481,0.7071067811865474,0.7071067811865481,-7.771561172376096e-16,-7.771561172376096e-16,0.04970145225524902
heavy,50,9950,4.0,0.0,0.006312668537322595,10278,24,0,10302,2.1522409349774265,8.000000000000002,5.847759065022576,4.0,0.8477590650225735,3.0000000000000018,3.0000000000000018,False,0.6635943636641818,1.0,0.6635943636641816,1.0,-0.3364056363358182,-0.33640563633581844,0.04980754852294922
heavy,50,9950,0.0,0.03,0.006312668537322595,10278,0,972650,982928,2.1985672237472262,10.043252202058959,7.844684978311733,4.12,0.8014327762527738,4.8032522020589585,4.8032522020589585,False,0.6687809312948266,0.7728284867859896,0.48778245624843636,1.0,-0.10404755549116296,-0.5122175437515637,0.48526644706726074
heavy,50,9950,0.0,0.1,0.006312668537322595,10278,0,972650,982928,2.2152284646480345,24.033220472701007,21.817992008052972,4.4,0.7847715353519655,18.233220472701007,18.233220472701007,False,0.7032521297195213,0.6637774195136983,0.1739083881865356,1.0,0.03947471020582305,-0.8260916118134645,0.5639986991882324
heavy,50,9950,0.0,0.3,0.006312668537322595,10278,0,972650,982928,2.2223524445776164,64.03100789382438,61.808655449246764,5.2,0.7776475554223836,56.63100789382438,56.63100789382438,False,0.7830013945771814,0.8810643019283009,0.07941988742202227,1.0,-0.09806290735111944,-0.9205801125779778,0.5959012508392334
heavy,50,9950,0.0,1.0,0.006312668537322595,10278,0,972650,982928,2.2252263639493095,204.03028740402553,201.80506104007623,8.0,0.7747736360506905,191.03028740402553,191.03028740402553,False,0.9060583429929139,0.7112993586831949,0.04625691520259118,1.0,0.19475898430971894,-0.9537430847974088,0.5940382480621338
